"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","2019",1.438507,
"AUS","EXCH","TOT","NATUSD","A","2020",1.453085,
"AUS","EXCH","TOT","NATUSD","A","2021",1.331224,
"AUS","EXCH","TOT","NATUSD","A","2022",1.441664,
"AUT","EXCH","TOT","NATUSD","A","2019",0.893276,
"AUT","EXCH","TOT","NATUSD","A","2020",0.875506,
"AUT","EXCH","TOT","NATUSD","A","2021",0.845494,
"AUT","EXCH","TOT","NATUSD","A","2022",0.949624,
"BEL","EXCH","TOT","NATUSD","A","2019",0.893276,
"BEL","EXCH","TOT","NATUSD","A","2020",0.875506,
"BEL","EXCH","TOT","NATUSD","A","2021",0.845494,
"BEL","EXCH","TOT","NATUSD","A","2022",0.949624,
"CAN","EXCH","TOT","NATUSD","A","2019",1.326793,
"CAN","EXCH","TOT","NATUSD","A","2020",1.341153,
"CAN","EXCH","TOT","NATUSD","A","2021",1.253877,
"CAN","EXCH","TOT","NATUSD","A","2022",1.301555,
"CZE","EXCH","TOT","NATUSD","A","2019",22.93225,
"CZE","EXCH","TOT","NATUSD","A","2020",23.21025,
"CZE","EXCH","TOT","NATUSD","A","2021",21.678167,
"CZE","EXCH","TOT","NATUSD","A","2022",23.357,
"DNK","EXCH","TOT","NATUSD","A","2019",6.669447,
"DNK","EXCH","TOT","NATUSD","A","2020",6.542152,
"DNK","EXCH","TOT","NATUSD","A","2021",6.287113,
"DNK","EXCH","TOT","NATUSD","A","2022",7.144804,
"FIN","EXCH","TOT","NATUSD","A","2019",0.893276,
"FIN","EXCH","TOT","NATUSD","A","2020",0.875506,
"FIN","EXCH","TOT","NATUSD","A","2021",0.845494,
"FIN","EXCH","TOT","NATUSD","A","2022",0.949624,
"FRA","EXCH","TOT","NATUSD","A","2019",0.893276,
"FRA","EXCH","TOT","NATUSD","A","2020",0.875506,
"FRA","EXCH","TOT","NATUSD","A","2021",0.845494,
"FRA","EXCH","TOT","NATUSD","A","2022",0.949624,
"DEU","EXCH","TOT","NATUSD","A","2019",0.893276,
"DEU","EXCH","TOT","NATUSD","A","2020",0.875506,
"DEU","EXCH","TOT","NATUSD","A","2021",0.845494,
"DEU","EXCH","TOT","NATUSD","A","2022",0.949624,
"GRC","EXCH","TOT","NATUSD","A","2019",0.893276,
"GRC","EXCH","TOT","NATUSD","A","2020",0.875506,
"GRC","EXCH","TOT","NATUSD","A","2021",0.845494,
"GRC","EXCH","TOT","NATUSD","A","2022",0.949624,
"HUN","EXCH","TOT","NATUSD","A","2019",290.66,
"HUN","EXCH","TOT","NATUSD","A","2020",307.996667,
"HUN","EXCH","TOT","NATUSD","A","2021",303.140833,
"HUN","EXCH","TOT","NATUSD","A","2022",372.595833,
"ISL","EXCH","TOT","NATUSD","A","2019",122.606774,
"ISL","EXCH","TOT","NATUSD","A","2020",135.421712,
"ISL","EXCH","TOT","NATUSD","A","2021",126.98886,
"ISL","EXCH","TOT","NATUSD","A","2022",135.279902,
"IRL","EXCH","TOT","NATUSD","A","2019",0.893276,
"IRL","EXCH","TOT","NATUSD","A","2020",0.875506,
"IRL","EXCH","TOT","NATUSD","A","2021",0.845494,
"IRL","EXCH","TOT","NATUSD","A","2022",0.949624,
"ITA","EXCH","TOT","NATUSD","A","2019",0.893276,
"ITA","EXCH","TOT","NATUSD","A","2020",0.875506,
"ITA","EXCH","TOT","NATUSD","A","2021",0.845494,
"ITA","EXCH","TOT","NATUSD","A","2022",0.949624,
"JPN","EXCH","TOT","NATUSD","A","2019",109.009666,
"JPN","EXCH","TOT","NATUSD","A","2020",106.774582,
"JPN","EXCH","TOT","NATUSD","A","2021",109.754324,
"JPN","EXCH","TOT","NATUSD","A","2022",131.49814,
"KOR","EXCH","TOT","NATUSD","A","2019",1165.3575,
"KOR","EXCH","TOT","NATUSD","A","2020",1180.265833,
"KOR","EXCH","TOT","NATUSD","A","2021",1143.951667,
"KOR","EXCH","TOT","NATUSD","A","2022",1291.446667,
"LUX","EXCH","TOT","NATUSD","A","2019",0.893276,
"LUX","EXCH","TOT","NATUSD","A","2020",0.875506,
"LUX","EXCH","TOT","NATUSD","A","2021",0.845494,
"LUX","EXCH","TOT","NATUSD","A","2022",0.949624,
"MEX","EXCH","TOT","NATUSD","A","2019",19.263633,
"MEX","EXCH","TOT","NATUSD","A","2020",21.485608,
"MEX","EXCH","TOT","NATUSD","A","2021",20.272408,
"MEX","EXCH","TOT","NATUSD","A","2022",20.12735,
"NLD","EXCH","TOT","NATUSD","A","2019",0.893276,
"NLD","EXCH","TOT","NATUSD","A","2020",0.875506,
